"Plot";"Subplot";"herb1";"Plant";"fv1";"sal"
9;"A3";0;"SCLA";0;0,519
9;"A3";4;"LEMA";3;0,519
9;"A3";2;"SOAS";0;0,519
9;"A3";0;"BEMA";0;0,519
9;"A4";1;"SOAS";0;0,493
9;"A4";0;"BEMA";0;0,493
9;"A4";0;"SCLA";0;0,493
9;"A4";0;"LEMA";2;0,493
9;"A5";3;"SOAS";0;0,379
9;"A5";2;"SCLA";0;0,379
9;"A5";0;"CHFU";1;0,379
9;"A5";0;"LEMA";1;0,379
9;"A6";0;"CHFU";6;0,384
9;"A6";2;"SOAS";0;0,384
9;"A6";2;"LEMA";0;0,384
9;"A6";0;"SCLA";0;0,384
9;"B1";0;"CHFU";9;0,517
9;"B1";0;"BEMA";0;0,517
9;"B1";0;"SOAS";0;0,517
9;"B1";0;"SCLA";0;0,517
9;"B1";7;"LEMA";11;0,517
9;"B2";0;"SCLA";0;0,526
9;"B2";0;"SOAS";0;0,526
9;"B2";0;"CHFU";3;0,526
9;"B2";4;"LEMA";5;0,526
9;"B3";0;"BEMA";0;0,546
9;"B3";0;"SCLA";0;0,546
9;"B3";0;"SASO";0;0,546
9;"B3";2;"LEMA";8;0,546
9;"B3";3;"CHFU";1;0,546
9;"B4";15;"SCLA";0;0,435
9;"B4";3;"SOAS";0;0,435
9;"B4";4;"LEMA";9;0,435
9;"B4";0;"BEMA";0;0,435
9;"B5";0;"CHFU";0;0,504
9;"B5";6;"SOAS";0;0,504
9;"B5";0;"SCLA";0;0,504
9;"B6";0;"LEMA";0;0,412
9;"B6";1;"SCLA";0;0,412
9;"B6";0;"BEMA";0;0,412
9;"B6";0;"CHFU";1;0,412
9;"B6";1;"SOAS";0;0,412
9;"C1";2;"SOAS";0;0,656
9;"C1";0;"CHFU";8;0,656
9;"C1";0;"SCLA";0;0,656
9;"C1";2;"LEMA";9;0,656
9;"C1";0;"BEMA";0;0,656
9;"C2";0;"SOAS";0;0,596
9;"C2";0;"CHFU";4;0,596
9;"C2";0;"SCLA";0;0,596
9;"C2";3;"LEMA";4;0,596
9;"C3";0;"SOAS";0;0,678
9;"C3";0;"CHFU";3;0,678
9;"C3";1;"SCLA";1;0,678
9;"C3";0;"BEMA";2;0,678
9;"C3";1;"LEMA";4;0,678
9;"C4";1;"SOAS";0;0,649
9;"C4";0;"CHFU";1;0,649
9;"C4";0;"SCLA";0;0,649
9;"C4";3;"LEMA";6;0,649
9;"C5";0;"SOAS";0;0,511
9;"C5";0;"CHFU";2;0,511
9;"C5";0;"SCLA";0;0,511
9;"C6";4;"SOAS";1;0,416
9;"C6";0;"CHFU";0;0,416
9;"C6";0;"SCLA";0;0,416
9;"C6";2;"LEMA";5;0,416
8;"F2";1;"HOMA";0;1,162
8;"F2";0;"LEMA";2;1,162
8;"F2";1;"CHFU";2;1,162
8;"F2";2;"SPRU";0;1,162
8;"F2";0;"BEMA";0;1,162
8;"F2";0;"POMA";0;1,162
8;"F2";0;"SCLA";0;1,162
8;"F3";0;"BEMA";0;1,088
8;"F3";1;"CHFU";5;1,088
8;"F3";8;"HOMA";0;1,088
8;"F3";0;"LEMA";1;1,088
8;"F3";0;"SPRU";0;1,088
8;"F3";0;"POMO";0;1,088
8;"F3";0;"SOAS";0;1,088
8;"F4";1;"LEMA";1;0,892
8;"F4";0;"CHFU";2;0,892
8;"F4";0;"HOMA";0;0,892
8;"F4";0;"POMO";0;0,892
8;"F4";1;"SOAS";0;0,892
8;"F4";0;"SPRU";0;0,892
8;"F5";0;"CHFU";1;0,494
8;"F5";2;"HOMA";0;0,494
8;"F5";2;"LEMA";4;0,494
8;"F5";1;"BEMA";1;0,494
8;"F5";0;"POMO";0;0,494
8;"F5";1;"POMA";0;0,494
8;"F5";0;"SPRU";0;0,494
8;"F5";0;"SOAS";0;0,494
8;"F6";4;"LEMA";13;0,544
8;"F6";1;"SOAS";0;0,544
8;"F6";0;"BEMA";0;0,544
8;"F6";0;"CHFU";1;0,544
8;"F6";0;"POMA";0;0,544
8;"F6";0;"RAPE";0;0,544
8;"F6";0;"POMO";0;0,544
8;"E3";1;"LEMA";3;0,622
8;"E3";6;"HOMA";0;0,622
8;"E3";0;"BEMA";6;0,622
8;"E3";0;"CHFU";2;0,622
8;"E3";0;"SCLA";0;0,622
8;"E4";0;"HOMA";0;0,652
8;"E4";0;"BEMA";0;0,652
8;"E4";0;"CHFU";0;0,652
8;"E4";1;"POMO";0;0,652
8;"E4";3;"LEMA";4;0,652
8;"E4";0;"SPRU";0;0,652
8;"E5";0;"CHFU";0;0,608
8;"E5";0;"BEMA";0;0,608
8;"E5";2;"LEMA";6;0,608
8;"E5";0;"SOAS";0;0,608
8;"E5";1;"POMO";0;0,608
8;"E5";0;"POMA";0;0,608
8;"E5";0;"SPRU";0;0,608
8;"E5";0;"SCLA";0;0,608
8;"E5";0;"RAPE";0;0,608
8;"E6";0;"SOAS";0;1,123
8;"E6";0;"RAPE";0;1,123
8;"E6";0;"BEMA";0;1,123
8;"E6";1;"LEMA";0;1,123
8;"E6";0;"POMA";0;1,123
8;"E6";0;"CHFU";0;1,123
8;"E6";0;"POMA";0;1,123
8;"E6";5;"HOMA";0;1,123
8;"F1";0;"SOAS";0;1,04
8;"F1";0;"SCLA";0;1,04
8;"F1";0;"CHFU";3;1,04
8;"F1";4;"LEMA";2;1,04
8;"F1";0;"SPRU";0;1,04
8;"F1";0;"POMA";0;1,04
8;"F1";0;"COSQ";0;1,04
8;"F1";1;"BEMA";0;1,04
8;"F1";1;"HOMA";0;1,04
8;"F1";0;"POMO";0;1,04
8;"D4";0;"RAPE";0;0,549
8;"D4";0;"CHFU";1;0,549
8;"D4";0;"HOMA";0;0,549
8;"D4";0;"SOAS";0;0,549
8;"D4";0;"POMA";0;0,549
8;"D4";0;"SCLA";0;0,549
8;"D4";1;"LEMA";2;0,549
8;"D4";0;"BEMA";0;0,549
8;"D5";2;"LEMA";3;0,872
8;"D5";0;"BEMA";0;0,872
8;"D5";0;"SCLA";0;0,872
8;"D5";1;"POMO";0;0,872
8;"D5";0;"SPRU";0;0,872
8;"D5";0;"POMA";0;0,872
8;"D5";4;"CHFU";2;0,872
8;"D5";0;"SOAS";0;0,872
8;"D6";0;"BEMA";0;0,827
8;"D6";0;"SOAS";0;0,827
8;"D6";0;"RAPE";0;0,827
8;"D6";2;"LEMA";7;0,827
8;"D6";0;"SCLA";0;0,827
8;"D6";0;"CHFU";0;0,827
8;"D6";0;"POMA";0;0,827
8;"D6";0;"POMO";0;0,827
8;"E1";0;"SOAS";0;0,879
8;"E1";5;"LEMA";2;0,879
8;"E1";0;"CHFU";2;0,879
8;"E1";0;"SPRU";0;0,879
8;"E1";0;"POMA";0;0,879
8;"E1";0;"BEMA";0;0,879
8;"E1";2;"HOMA";0;0,879
8;"E2";4;"HOMA";0;0,618
8;"E2";0;"BEMA";0;0,618
8;"E2";3;"LEMA";0;0,618
8;"E2";0;"SOAS";0;0,618
8;"E2";0;"SPRU";0;0,618
8;"E2";0;"CHFU";0;0,618
8;"B4";1;"CHFU";1;0,75
8;"B4";0;"SOAS";0;0,75
8;"B4";1;"POMO";0;0,75
8;"B4";0;"SCLA";0;0,75
8;"B4";0;"POMA";0;0,75
8;"B4";1;"BEMA";0;0,75
8;"B4";1;"LEMA";4;0,75
8;"B5";1;"SOAS";0;0,87
8;"B5";3;"BEMA";0;0,87
8;"B5";0;"CHFU";1;0,87
8;"B5";0;"LEMA";3;0,87
8;"B5";0;"POMA";0;0,87
8;"B6";0;"SOAS";0;0,88
8;"B6";0;"BEMA";0;0,88
8;"B6";0;"SPRU";0;0,88
8;"B6";0;"CHFU";2;0,88
8;"B6";1;"LEMA";8;0,88
8;"B6";0;"POMA";0;0,88
8;"C1";0;"SCLA";1;0,548
8;"C1";1;"BEMA";0;0,548
8;"C1";0;"CHFU";4;0,548
8;"C1";6;"LEMA";3;0,548
8;"C1";2;"SPRU";0;0,548
8;"C1";0;"SOAS";0;0,548
8;"C1";0;"HOMA";0;0,548
8;"C1";0;"POMO";0;0,548
8;"C2";0;"SCLA";0;0,791
8;"C2";0;"CHFU";5;0,791
8;"C2";0;"POMA";0;0,791
8;"C2";1;"LEMA";1;0,791
8;"C2";1;"SPRU";0;0,791
8;"C2";0;"SOAS";0;0,791
8;"C2";1;"HOMA";0;0,791
8;"C3";1;"LEMA";1;0,681
8;"C3";0;"CHFU";4;0,681
8;"C3";0;"SCLA";0;0,681
8;"C3";0;"POMA";0;0,681
8;"C3";0;"BEMA";0;0,681
8;"C3";1;"POMO";0;0,681
8;"C3";0;"SOAS";0;0,681
8;"A5";1;"LEMA";2;0,644
8;"A5";0;"BEMA";0;0,644
8;"A5";0;"POMA";0;0,644
8;"A5";0;"SOAS";0;0,644
8;"A5";0;"CHFU";3;0,644
8;"A5";0;"HOMA";0;0,644
8;"A5";0;"SPRU";0;0,644
8;"A6";1;"BEMA";0;1,055
8;"A6";0;"LEMA";1;1,055
8;"A6";0;"CHFU";4;1,055
8;"A6";0;"SOAS";0;1,055
8;"A6";3;"HOMA";0;1,055
8;"A6";0;"POMA";0;1,055
8;"A6";0;"SPRU";0;1,055
8;"B1";0;"SCLA";0;0,759
8;"B1";3;"HOMA";0;0,759
8;"B1";0;"CHFU";2;0,759
8;"B1";0;"BEMA";0;0,759
8;"B1";3;"SPRU";0;0,759
8;"B1";0;"POMA";0;0,759
8;"B1";0;"LEMA";0;0,759
8;"B2";1;"HOMA";0;0,675
8;"B2";1;"CHFU";1;0,675
8;"B2";0;"POMA";0;0,675
8;"B2";0;"POMO";0;0,675
8;"B2";1;"SOAS";0;0,675
8;"B2";0;"RAPE";0;0,675
8;"B2";0;"SPRU";0;0,675
8;"B2";1;"LEMA";5;0,675
8;"B2";0;"BEMA";0;0,675
8;"B3";1;"LEMA";2;0,729
8;"B3";0;"SOAS";0;0,729
8;"B3";0;"CHFU";0;0,729
8;"B3";1;"POMO";0;0,729
8;"B3";0;"SCLA";0;0,729
8;"B3";0;"RAPE";0;0,729
8;"B3";0;"BEMA";0;0,729
8;"B3";1;"HOMA";0;0,729
8;"B3";0;"POMA";0;0,729
8;"B3";0;"SPRU";0;0,729
8;"C4";0;"CHFU";2;0,786
8;"C4";1;"HOMA";0;0,786
8;"C4";0;"BEMA";0;0,786
8;"C4";0;"POMA";0;0,786
8;"C4";0;"LEMA";6;0,786
8;"C4";0;"POMO";0;0,786
8;"C5";3;"HOMA";0;0,708
8;"C5";1;"LEMA";3;0,708
8;"C5";0;"SCLA";0;0,708
8;"C5";0;"CHFU";3;0,708
8;"C5";1;"BEMA";0;0,708
8;"C5";0;"POMA";0;0,708
8;"C5";0;"SPRU";0;0,708
8;"C6";1;"LEMA";1;0,664
8;"C6";0;"SCLA";2;0,664
8;"C6";0;"POMA";0;0,664
8;"C6";0;"SPRU";0;0,664
8;"C6";0;"CHFU";8;0,664
8;"C6";1;"HOMA";0;0,664
