day;month;year;Plot;Subplot;Moisture;Salinity;Salinity_mean;Sensor;Observations;;
1;28;2019;7;D3;42.9;0.201;0.201;10;;;
1;28;2019;7;D4;42.4;0.171;0.171;10;;;
1;28;2019;7;D5;44.6;0.185;0.185;10;;;
1;28;2019;7;D6;43.7;0.160;0.160;10;;;
1;28;2019;7;E1;11.8;0.228;0.228;5;;;
1;28;2019;7;E2;13.6;0.161;0.161;5;;;
1;28;2019;7;E3;12.4;0.129;0.129;5;;;
1;28;2019;7;E4;18.2;0.151;0.151;5;;;
1;28;2019;7;E5;44.4;0.233;0.233;10;;;
1;28;2019;7;E6;44.9;0.227;0.227;10;;;
1;28;2019;7;F1;21.9;0.261;0.261;5;;;
1;28;2019;7;F2;12.2;0.226;0.226;5;;;
1;28;2019;7;F3;17.1;0.207;0.207;5;;;
1;28;2019;7;F4;13.6;0.192;0.192;5;;;
1;28;2019;7;F5;17.6;0.127;0.127;5;;;
1;28;2019;7;F6;20.3;0.268;0.268;5;;;
1;28;2019;8;A1;40.2;0.264;0.264;10;;;
1;28;2019;8;A2;43.6;0.253;0.253;10;;;
1;28;2019;8;A3;16.6;0.138;0.138;5;;;
1;28;2019;8;A4;44.5;0.258;0.258;10;;;
1;28;2019;8;A5;41.9;0.253;0.253;10;;;
1;28;2019;8;A6;16.3;0.195;0.195;5;;;
1;28;2019;8;B1;40.9;0.260;0.260;10;;;
1;28;2019;8;B2;43.5;0.243;0.243;10;;;
1;28;2019;8;B3;43.6;0.248;0.248;10;;;
1;28;2019;8;B4;43.7;0.215;0.215;10;;;
1;28;2019;8;B5;43.6;0.272;0.272;10;;;
1;28;2019;8;B6;18.9;0.182;0.182;5;;;
1;28;2019;8;C1;43.1;0.251;0.251;10;;;
1;28;2019;8;C2;44.7;0.273;0.273;10;;;
1;28;2019;8;C3;42.7;0.192;0.192;10;;;
1;28;2019;8;C4;43.9;0.210;0.210;10;;;
1;28;2019;8;C5;43.2;0.227;0.227;10;;;
1;28;2019;8;C6;17.8;0.164;0.164;5;;;
1;28;2019;8;D1;43.5;0.228;0.228;10;;;
1;28;2019;8;D2;44.4;0.265;0.265;10;;;
1;28;2019;8;D3;42.6;0.167;0.167;10;;;
