"focal";"fitness";"BEMA";"CHFU";"CHMI";"CETE";"HOMA";"LEMA";"PAIN";"PLCO";"POMA";"POMO";"PUPA";"SASO";"SCLA";"SPRU";"MESU";"MEEL";"MEPO";"SOAS";"FRPU";"SUSP";"COSQ";"RAPE"
"BEMA";468;2;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"HOMA";40;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"LEMA";1044;2;2;0;0;2;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"CHFU";128;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"CHFU";160;0;1;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"BEMA";280;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"HOMA";60;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"LEMA";1392;0;0;0;0;4;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"BEMA";328;0;0;0;0;3;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"CHFU";32;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"CHFU";32;1;0;0;1;2;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"CHFU";32;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"HOMA";60;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"LEMA";290;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"BEMA";240;1;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"SCLA";155;0;0;0;1;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"HOMA";20;0;0;0;1;0;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
"HOMA";120;0;0;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"LEMA";348;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"BEMA";924;1;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"SCLA";93;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"SCLA";62;1;0;0;0;0;4;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0
"BEMA";216;0;0;0;0;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"LEMA";348;0;0;0;1;0;5;0;0;0;0;0;2;0;0;1;0;0;0;0;0;0;0
"LEMA";348;0;0;0;0;0;2;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0
"BEMA";64;0;0;0;2;0;8;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"SCLA";124;0;0;0;0;0;3;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0
"BEMA";80;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"CHFU";320;1;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"HOMA";40;0;1;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"CHFU";96;0;4;0;3;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"LEMA";696;0;2;0;2;1;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"BEMA";172;1;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"LEMA";406;1;0;0;2;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"CHFU";96;1;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"LEMA";174;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"HOMA";40;0;0;0;0;2;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"CHFU";32;0;0;0;6;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"BEMA";68;1;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"HOMA";20;0;0;0;0;1;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"SCLA";62;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"SCLA";62;1;0;0;0;0;4;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0
"BEMA";56;3;0;0;0;5;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
"HOMA";20;1;0;0;0;4;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0
"HOMA";20;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"CHFU";352;0;0;0;3;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"LEMA";812;0;1;0;4;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
"SCLA";31;0;0;0;0;0;4;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
"BEMA";456;0;0;0;0;1;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"SCLA";62;0;3;0;0;0;3;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"LEMA";406;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"BEMA";136;0;0;0;3;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"HOMA";20;0;0;0;2;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"CHFU";96;0;2;0;0;0;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
"CHFU";32;1;0;0;2;0;5;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
"LEMA";522;0;0;0;10;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"BEMA";192;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"SCLA";93;2;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"CHFU";192;1;0;0;2;0;4;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;0
"LEMA";348;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"SCLA";31;2;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"SCLA";31;0;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"BEMA";68;3;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"LEMA";1044;3;0;0;5;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"LEMA";174;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"BEMA";72;3;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"LEMA";580;0;0;0;2;0;4;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0
"BEMA";48;0;0;0;0;1;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"HOMA";20;1;0;0;0;0;4;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
"SCLA";62;0;0;0;2;3;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"BEMA";28;2;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"CHFU";64;0;1;0;0;1;1;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"LEMA";406;1;2;0;0;0;4;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0
"SCLA";62;1;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"BEMA";352;0;0;0;8;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"LEMA";1102;0;0;0;0;0;1;0;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0
"SCLA";62;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"CHFU";64;0;0;0;0;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"HOMA";20;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"LEMA";232;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"CHFU";96;1;1;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"BEMA";248;0;1;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"SCLA";62;0;0;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"BEMA";56;2;0;0;4;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"LEMA";580;1;0;0;9;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"CHFU";32;0;0;0;3;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"SCLA";31;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"BEMA";116;1;0;0;0;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"LEMA";348;1;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"SCLA";62;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"SCLA";62;0;0;0;1;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"LEMA";290;0;0;0;0;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"BEMA";56;0;0;0;0;0;4;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"HOMA";20;1;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"CHFU";32;1;0;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"BEMA";72;1;0;0;2;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"HOMA";20;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"SCLA";62;0;0;0;2;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"LEMA";290;1;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"SOAS";330;1;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"BEMA";312;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"SCLA";62;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"LEMA";522;0;0;0;0;0;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
"SCLA";93;1;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"CHFU";256;1;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"SCLA";62;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"LEMA";696;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"BEMA";240;0;0;0;0;0;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
"CHFU";64;1;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"SCLA";31;1;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"BEMA";64;3;0;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"LEMA";348;1;0;0;2;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"SCLA";62;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"BEMA";148;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"SCLA";31;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"LEMA";580;3;0;0;0;1;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"HOMA";20;0;0;0;3;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"LEMA";348;0;0;0;0;0;3;0;1;0;0;0;10;0;0;0;0;0;0;0;0;0;0
"BEMA";88;0;0;0;2;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"SCLA";31;0;0;0;2;0;12;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0
"SCLA";124;1;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"LEMA";232;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"BEMA";92;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"SOAS";165;2;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"CHFU";384;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"LEMA";812;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"BEMA";104;0;0;0;2;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"BEMA";60;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"LEMA";348;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"CHFU";384;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"SOAS";825;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"SOAS";440;0;0;0;8;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"SOAS";1155;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"SCLA";31;0;0;0;0;0;3;0;0;0;0;0;0;1;0;0;0;0;2;0;0;0;0
